1744296023069540864, 0, 2/21, O
1744296023069835520, 0, 2/17, O
1744296023070148608, 0, 2/24, O
1744296023070443008, 1, 2/24, O
1744296023070735872, 1, 2/24, O
1744296023071027200, 1, 2/24, O
1744296023071319040, 1, 2/23, O
1744296023071612672, 0, 2/22, O
1744296023071907072, 1, 2/24, O
1744296023072199936, 0, 2/24, O
1744296023072493824, 1, 1/24, O
1744296023072787200, 1, 1/23, O
1744296023073080064, 0, 2/21, O
1744296023073374976, 1, 2/24, O
1744296023073667840, 0, 2/24, O
1744296023073978880, 1, 2/24, O
1744296023074272512, 1, 2/24, O
1744296023074564096, 0, 2/24, O
1744296023074855680, 0, 1/20, O
1744296023075150592, 1, 2/24, O
1744296023075442688, 1, 2/24, O
1744296023075734784, 1, 2/24, O
1744296023076026624, 0, 2/24, O
1744296023076318464, 1, 2/25, O
1744296023076609792, 0, 2/20, O
1744296023076905472, 0, 2/24, O
1744296023077198592, 0, 2/24, O
1744296023077491712, 0, 2/24, O
1744296023077783808, 1, 1/18, O
1744296023078233600, 0, 2/22, O
1744296023078529536, 1, 2/20, O
1744296023078825472, 0, 2/24, O
1744296023079119872, 0, 3/10, O
1744296023079497216, 1, 1/1, O
1744296023079879936, 1, 1/24, O
1744296023080172800, 1, 2/24, O
1744296023080464640, 1, 2/24, O
1744296023080756992, 0, 2/22, O
1744296023081052928, 1, 2/23, O
1744296023081346304, 0, 2/24, O
1744296023081638144, 0, 2/24, O
1744296023081934336, 0, 1/5, O
1744296023082237440, 1, 2/22, O
1744296023082531328, 0, 2/24, O
1744296023082823424, 1, 2/21, O
1744296023083117312, 1, 2/23, O
1744296023083409152, 0, 2/24, O
1744296023083701248, 1, 2/24, O
1744296023083993088, 0, 2/24, O
1744296023084284672, 0, 2/24, O
1744296023084576512, 0, 2/20, O
1744296023084871168, 1, 2/24, O
1744296023085163008, 1, 2/24, O
1744296023085454592, 1, 2/24, O
1744296023085746944, 0, 1/20, O
1744296023086076160, 1, 2/24, O
1744296023086369792, 1, 2/20, O
1744296023086665216, 0, 2/24, O
1744296023086957824, 1, 2/24, O
1744296023087249664, 0, 2/24, O
1744296023087541504, 0, 2/24, O
1744296023087833088, 0, 2/24, O
1744296023088124672, 0, 2/21, O
1744296023088419840, 1, 2/23, O
1744296023088711680, 0, 2/24, O
1744296023089027840, 1, 2/24, O
1744296023089320960, 0, 2/24, O
1744296023089612800, 1, 2/24, O
1744296023089904384, 1, 1/9, O
1744296023090200064, 0, 2/24, O
1744296023090492672, 1, 2/24, O
1744296023090784768, 0, 2/24, O
1744296023091076864, 0, 2/24, O
1744296023091368704, 0, 2/24, O
1744296023091660032, 0, 2/21, O
1744296023091955200, 0, 2/23, O
1744296023092247296, 0, 2/24, O
1744296023092538880, 0, 2/24, O
1744296023092830720, 1, 1/25, O
