1744271412913272320, 1744271412913460736, 1/18, O
1744271412913460736, 1744271412913649152, 1/18, O
1744271412913649152, 1744271412913836544, 1/18, O
1744271412913836544, 1744271412914022400, 1/19, O
1744271412914022400, 1744271412914208256, 1/18, O
1744271412914208256, 1744271412914394368, 1/19, O
1744271412914394368, 1744271412914583296, 1/15, O
1744271412914583296, 1744271412914769920, 0/18, X
1744271412914769920, 1744271412915134720, 1/12, O
1744271412915134720, 1744271412915324672, 1/17, O
1744271412915324672, 1744271412915512576, 1/18, O
1744271412915512576, 1744271412915699712, 1/19, O
1744271412915699712, 1744271412915886080, 1/18, O
1744271412915886080, 1744271412916073472, 1/18, O
1744271412916073472, 1744271412916260096, 1/18, O
1744271412916260096, 1744271412916446464, 1/19, O
1744271412916446464, 1744271412916636928, 1/14, O
1744271412916636928, 1744271412916823808, 1/18, O
1744271412916823808, 1744271412917034752, 2/13, O
1744271412917034752, 1744271412917221632, 1/19, O
1744271412917221632, 1744271412917408512, 1/18, O
1744271412917408512, 1744271412917595136, 1/18, O
1744271412917595136, 1744271412917782272, 1/19, O
1744271412917782272, 1744271412917969408, 1/18, O
1744271412917969408, 1744271412918156800, 1/18, O
1744271412918156800, 1744271412918348288, 1/15, O
1744271412918348288, 1744271412918535680, 1/18, O
1744271412918535680, 1744271412918722560, 1/19, O
1744271412918722560, 1744271412918909952, 1/18, O
1744271412918909952, 1744271412919096576, 1/18, O
1744271412919096576, 1744271412919283200, 1/19, O
1744271412919283200, 1744271412919470592, 1/18, O
1744271412919470592, 1744271412919657472, 1/18, O
1744271412919657472, 1744271412919844352, 1/19, O
1744271412919844352, 1744271412920035584, 1/16, O
1744271412920035584, 1744271412920222720, 1/17, O
1744271412920222720, 1744271412920410112, 1/19, O
1744271412920410112, 1744271412920596224, 1/18, O
1744271412920596224, 1744271412920783104, 1/18, O
1744271412920783104, 1744271412921011968, 1/14, O
1744271412921011968, 1744271412921200128, 1/10, O
1744271412921200128, 1744271412921387520, 1/18, O
1744271412921387520, 1744271412921574400, 1/18, O
1744271412921574400, 1744271412921761024, 1/19, O
1744271412921761024, 1744271412921951744, 1/15, O
1744271412921951744, 1744271412922139136, 1/18, O
1744271412922139136, 1744271412922325248, 1/18, O
1744271412922325248, 1744271412922512896, 1/19, O
1744271412922512896, 1744271412922699264, 1/18, O
1744271412922699264, 1744271412922885376, 1/18, O
1744271412922885376, 1744271412923072000, 1/19, O
1744271412923072000, 1744271412923258368, 1/18, O
1744271412923258368, 1744271412923445504, 1/19, O
1744271412923445504, 1744271412923634432, 1/14, O
1744271412923634432, 1744271412923821568, 0/19, X
1744271412923821568, 1744271412924009216, 1/18, O
1744271412924009216, 1744271412924195328, 1/18, O
1744271412924195328, 1744271412924381696, 1/19, O
1744271412924381696, 1744271412924568832, 1/18, O
1744271412924568832, 1744271412924755968, 1/19, O
1744271412924755968, 1744271412924953088, 1/17, O
1744271412924953088, 1744271412925139968, 1/19, O
1744271412925139968, 1744271412925327872, 1/17, O
1744271412925327872, 1744271412925517568, 1/16, O
1744271412925517568, 1744271412925704448, 1/18, O
